Generation,SelectedFeatures,n1,n2,n3,lr,dr,l2,alpha,Accuracy,TP,FP,FN,TN
3,"age,cp,trestbps,chol,fbs,restecg,oldpeak,slope,ca",192,74,52,0.00269,0.377,0.004393,0.0992,0.8685,265,30,53,283
3,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",147,108,41,0.002171,0.3912,0.000995,0.2576,0.8558,254,27,64,286
3,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",140,76,35,0.001459,0.3484,0.009539,0.0501,0.8605,255,25,63,288
3,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",175,69,40,0.002629,0.2027,0.008992,0.0128,0.8415,256,38,62,275
3,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",165,78,51,0.003334,0.3818,0.007235,0.2529,0.8558,267,40,51,273
3,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",146,82,44,0.0001,0.1101,0.003593,0.0684,0.8637,264,32,54,281
3,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",192,74,52,0.00269,0.377,0.004393,0.0992,0.8621,257,26,61,287
3,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",151,104,46,0.003438,0.3913,0.009539,0.01,0.8574,261,33,57,280
3,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",132,110,44,0.003569,0.3818,0.004615,0.2906,0.8574,271,43,47,270
3,"age,cp,trestbps,chol,restecg,thalach,exang,oldpeak,slope,ca",165,78,51,0.003334,0.3585,0.003593,0.0684,0.8685,265,30,53,283
3,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",140,76,35,0.001459,0.3484,0.0031,0.0501,0.8558,265,38,53,275
3,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",165,78,51,0.003334,0.3818,0.01,0.1937,0.8605,261,31,57,282
3,"age,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca",132,110,44,0.000853,0.2645,0.000832,0.0935,0.8669,257,23,61,290
3,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",139,76,35,0.001459,0.3776,0.01,0.0501,0.8653,265,32,53,281
3,"sex,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",149,115,46,0.0001,0.2862,0.01,0.1559,0.8669,262,28,56,285
3,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",192,74,51,0.00269,0.377,1e-06,0.0992,0.8685,263,28,55,285
3,"cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",132,110,44,0.000853,0.3923,0.007941,0.259,0.8653,262,29,56,284
3,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",131,106,34,0.005654,0.2645,0.000832,0.0935,0.8621,266,35,52,278
3,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",192,74,52,0.002624,0.377,0.004393,0.0992,0.8637,266,34,52,279
3,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",132,68,44,0.000898,0.3316,0.000976,0.0671,0.8542,267,41,51,272
3,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",138,70,35,0.005615,0.3629,0.01,0.2936,0.8526,259,34,59,279
3,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",132,68,44,0.000898,0.3316,0.000976,0.0671,0.8796,274,32,44,281
3,"sex,cp,trestbps,chol,fbs,restecg,oldpeak,slope,ca",149,115,46,0.0001,0.2862,0.01,0.1559,0.8621,270,39,48,274
3,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",165,78,51,0.003334,0.3818,0.003593,0.0684,0.8542,256,30,62,283
