Generation,SelectedFeatures,n1,n2,n3,lr,dr,l2,alpha,Accuracy,TP,FP,FN,TN
3,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",169,103,34,0.005489,0.3188,0.008602,0.0277,0.8685,274,39,44,274
3,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",179,89,53,0.004679,0.2518,0.008897,0.072,0.8637,270,38,48,275
3,"cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",133,122,51,0.003492,0.2054,0.001012,0.01,0.8542,262,36,56,277
3,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",143,85,33,0.003426,0.2395,0.008607,0.1848,0.859,266,37,52,276
3,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",146,82,57,0.002955,0.1236,0.008356,0.0924,0.8637,269,37,49,276
3,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",180,109,54,0.001121,0.2858,0.00509,0.1773,0.8685,269,34,49,279
3,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",133,122,51,0.003492,0.2054,0.001012,0.1848,0.8669,268,34,50,279
3,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",180,109,54,0.002955,0.1236,0.008356,0.0924,0.87,270,34,48,279
3,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",169,103,34,0.005489,0.3188,0.005519,0.0115,0.8621,269,38,49,275
3,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",152,113,52,0.003243,0.2046,0.008602,0.0277,0.8732,273,35,45,278
3,"age,sex,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",179,109,54,0.002955,0.1236,0.008356,0.1552,0.8685,269,34,49,279
3,"age,sex,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",185,80,54,0.0001,0.1236,0.008356,0.0924,0.8637,269,37,49,276
3,"cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",137,88,34,0.01,0.2151,1e-06,0.3,0.8653,263,30,55,283
3,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",169,103,34,0.005489,0.3188,0.008602,0.0277,0.859,268,39,50,274
3,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",142,82,64,0.001241,0.2323,0.005411,0.0221,0.8637,268,36,50,277
3,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",152,113,52,0.003243,0.2054,0.001012,0.1848,0.8605,266,36,52,277
3,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",133,122,51,0.003492,0.2046,0.005519,0.0115,0.8621,263,32,55,281
3,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",163,64,59,0.004045,0.3166,0.009906,0.1759,0.8621,266,35,52,278
3,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",169,103,34,0.005489,0.3188,0.008602,0.0277,0.8669,273,39,45,274
3,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",180,109,54,0.002955,0.1236,0.008356,0.0924,0.8605,266,36,52,277
3,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",163,64,59,0.004045,0.3166,0.009906,0.1759,0.8494,261,38,57,275
3,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",151,73,37,0.00976,0.0079,0.01,0.2259,0.851,275,51,43,262
3,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",152,113,57,0.001121,0.2858,0.00509,0.1773,0.8605,267,37,51,276
3,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",146,82,52,0.003243,0.2046,0.005519,0.0115,0.8716,269,32,49,281
3,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",179,89,53,0.004679,0.2518,0.008897,0.072,0.8685,274,39,44,274
3,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",136,85,33,0.003426,0.2395,0.008607,0.1852,0.8637,269,37,49,276
3,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",152,113,52,0.003243,0.2054,0.001012,0.1848,0.8605,261,31,57,282
3,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",133,122,51,0.003492,0.2046,0.005519,0.0115,0.8605,265,35,53,278
3,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",152,113,52,0.003243,0.2046,0.005519,0.0115,0.8605,266,36,52,277
3,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",179,89,53,0.004679,0.2518,0.008897,0.072,0.859,263,34,55,279
3,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",146,82,57,0.001121,0.2858,0.00509,0.1773,0.8685,270,35,48,278
3,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",186,90,61,0.001062,0.0387,0.00702,0.2396,0.8542,260,34,58,279
3,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",133,122,51,0.003492,0.2046,0.005519,0.0115,0.8574,265,37,53,276
3,"cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca",136,88,34,0.01,0.2151,1e-06,0.3,0.8463,267,46,51,267
3,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",152,113,52,0.003243,0.2054,0.001012,0.1848,0.8685,265,30,53,283
3,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",149,64,52,0.00087,0.103,0.01,0.0427,0.8558,263,36,55,277
3,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",152,113,52,0.003243,0.2054,0.001012,0.1848,0.8653,268,35,50,278
3,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",147,84,39,0.009976,0.1947,0.002527,0.0304,0.8542,270,44,48,269
3,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",185,80,54,0.002955,0.1236,0.008356,0.0924,0.8732,271,33,47,280
3,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",146,82,57,0.001121,0.2858,0.00509,0.1773,0.8605,269,39,49,274
3,"age,sex,cp,trestbps,chol,restecg,thalach,exang,oldpeak,slope,ca",152,113,52,0.003243,0.2046,1e-06,0.0115,0.8558,261,34,57,279
3,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",152,113,52,0.003243,0.1865,1e-06,0.01,0.8621,265,34,53,279
3,"age,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca",149,64,52,0.00087,0.103,0.01,0.0427,0.8653,266,33,52,280
3,"age,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca",149,64,51,0.00087,0.103,0.01,0.01,0.859,267,38,51,275
3,"age,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca",149,64,52,0.00087,0.103,0.01,0.0427,0.8574,265,37,53,276
3,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",185,80,54,0.002955,0.1236,0.008356,0.0924,0.859,267,38,51,275
3,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",136,85,33,0.003426,0.2395,0.008607,0.1852,0.8621,269,38,49,275
3,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",185,69,55,0.005345,0.0327,0.003453,0.1543,0.8558,262,35,56,278
3,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",160,98,47,0.006623,0.3866,0.006217,0.2725,0.8526,272,47,46,266
3,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",146,82,57,0.001121,0.2858,0.00509,0.1773,0.8653,270,37,48,276
3,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",179,89,53,0.004679,0.2518,0.008897,0.072,0.859,267,38,51,275
3,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",179,89,53,0.004679,0.2518,0.008897,0.072,0.859,274,45,44,268
3,"age,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca",146,82,57,0.001121,0.2858,0.00509,0.1773,0.8621,270,39,48,274
3,"cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",136,88,34,0.01,0.2151,1e-06,0.3,0.8494,258,35,60,278
3,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",143,103,34,0.005489,0.3188,0.008602,0.0277,0.8653,271,38,47,275
3,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",169,85,33,0.003426,0.2395,0.008607,0.1852,0.8621,266,35,52,278
3,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",136,115,62,0.001536,0.332,0.009068,0.0221,0.8621,270,39,48,274
