Generation,SelectedFeatures,n1,n2,n3,lr,dr,l2,alpha,Accuracy,TP,FP,FN,TN
3,"age,sex,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",129,98,45,0.006314,0.2009,0.00092,0.1143,0.8605,260,30,58,283
3,"age,sex,cp,trestbps,chol,thalach,oldpeak,slope,ca",134,122,44,0.002637,0.1501,0.002079,0.1057,0.8637,263,31,55,282
3,"age,sex,cp,trestbps,chol,restecg,thalach,exang,oldpeak,slope,ca",192,128,39,0.01,0.0637,0.003622,0.024,0.8558,262,35,56,278
3,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",181,101,32,0.001047,0.1973,0.007697,0.0625,0.851,260,36,58,277
3,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",176,83,47,0.009588,0.2537,0.005316,0.1898,0.8526,263,38,55,275
3,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",147,120,44,0.004881,0.01,0.000162,0.16,0.8526,260,35,58,278
3,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",177,121,45,0.004724,0.0125,0.001678,0.0275,0.8685,274,39,44,274
3,"age,cp,trestbps,chol,restecg,thalach,exang,oldpeak,slope,ca",192,128,39,0.0001,0.0637,0.003622,0.024,0.832,244,32,74,281
3,"age,cp,trestbps,chol,thalach,oldpeak,slope,ca",186,68,64,0.005398,0.3198,0.002364,0.2072,0.8384,250,34,68,279
3,"cp,trestbps,chol,fbs,restecg,oldpeak,slope,ca",129,111,37,0.006279,0.0505,0.000544,0.2081,0.8605,260,30,58,283
3,"cp,trestbps,chol,thalach,oldpeak,slope,ca",129,99,45,0.006314,0.2692,0.004645,0.0475,0.8479,268,46,50,267
3,"age,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca",148,119,57,0.004413,0.17,1e-06,0.1482,0.8669,264,30,54,283
3,"age,sex,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",129,121,45,0.006314,0.2009,0.00092,0.1143,0.8637,263,31,55,282
3,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",177,98,45,0.004724,0.0125,0.001678,0.0275,0.8653,267,34,51,279
3,"age,cp,trestbps,chol,thalach,oldpeak,slope,ca",138,75,50,0.008307,0.0609,0.002442,0.0458,0.8558,269,42,49,271
3,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",176,83,46,0.009588,0.2818,0.002442,0.0458,0.851,275,51,43,262
3,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",186,68,64,0.005398,0.3198,0.002364,0.2072,0.8399,251,34,67,279
3,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",161,93,55,0.004745,0.0343,0.008375,0.0536,0.8479,277,55,41,258
3,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",147,120,44,0.004881,0.01,0.000162,0.16,0.8716,265,28,53,285
3,"age,sex,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",151,124,49,0.008064,0.1958,0.001561,0.1482,0.8732,275,37,43,276
3,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",175,73,63,0.007798,0.1089,0.000704,0.16,0.8621,268,37,50,276
3,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",164,117,51,0.005509,0.2323,0.000825,0.2163,0.859,269,40,49,273
3,"age,sex,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",186,67,64,0.0001,0.3776,0.002364,0.2072,0.8368,261,46,57,267
3,"age,sex,cp,trestbps,chol,thalach,oldpeak,slope,ca",134,122,44,0.002637,0.1501,0.002079,0.1057,0.8574,260,32,58,281
3,"age,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca",129,99,45,0.006314,0.2692,1e-06,0.1482,0.859,259,30,59,283
3,"age,sex,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",129,98,45,0.006314,0.2009,0.00092,0.1143,0.8558,259,32,59,281
3,"cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",192,81,61,0.005321,0.2322,0.001575,0.2194,0.8685,270,35,48,278
3,"age,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca",129,99,45,0.006314,0.2692,1e-06,0.1482,0.8621,266,35,52,278
3,"cp,trestbps,chol,thalach,oldpeak,slope,ca",161,93,57,0.004413,0.17,0.004645,0.0475,0.851,262,38,56,275
3,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",148,119,55,0.004745,0.0739,0.003942,0.2165,0.8669,274,40,44,273
3,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",151,104,64,0.000715,0.3174,0.009058,0.0114,0.8494,260,37,58,276
3,"age,sex,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",185,68,64,0.008307,0.3198,0.002364,0.1678,0.8526,259,34,59,279
3,"cp,trestbps,chol,thalach,oldpeak,slope,ca",169,127,64,0.007543,0.1934,0.002155,0.1462,0.8526,255,30,63,283
3,"cp,trestbps,chol,oldpeak,slope,ca",129,111,37,0.006279,0.0505,0.000544,0.2081,0.8431,258,39,60,274
3,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",147,120,44,0.004509,0.1801,0.001798,0.048,0.8621,261,30,57,283
3,"sex,cp,trestbps,chol,thalach,oldpeak,slope,ca",135,72,50,0.007913,0.0571,0.000386,0.2233,0.8605,266,36,52,277
3,"age,sex,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",130,91,46,0.004793,0.3575,0.007336,0.0736,0.8415,252,34,66,279
3,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",176,83,47,0.009588,0.2537,0.005316,0.1898,0.8526,259,34,59,279
3,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",181,101,32,0.001047,0.1973,0.007697,0.0625,0.8479,273,51,45,262
3,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",168,128,46,0.001362,0.1625,0.002398,0.0493,0.8605,266,36,52,277
3,"age,sex,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",185,68,64,0.008307,0.3198,0.002364,0.2072,0.8574,263,35,55,278
3,"age,sex,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",130,119,39,0.01,0.0739,0.003942,0.2165,0.8463,278,57,40,256
3,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",176,83,46,0.009588,0.2818,0.002442,0.0458,0.8558,270,43,48,270
3,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",128,122,42,0.0001,0.1801,0.001798,0.048,0.8431,267,48,51,265
3,"age,sex,cp,trestbps,chol,thalach,oldpeak,slope,ca",134,122,44,0.002637,0.1501,0.002079,0.1499,0.8574,266,38,52,275
3,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",168,128,46,0.001362,0.1625,0.002398,0.0493,0.8542,270,44,48,269
