Generation,SelectedFeatures,n1,n2,n3,lr,dr,l2,alpha,Accuracy,TP,FP,FN,TN
2,"sex,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",163,86,40,0.002939,0.3301,1e-06,0.126,0.8685,264,29,54,284
2,"sex,cp,trestbps,chol,fbs,restecg,oldpeak,slope,ca",146,80,53,0.004148,0.3301,1e-06,0.126,0.859,257,28,61,285
2,"cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",163,86,40,0.002939,0.2418,0.001555,0.0739,0.8542,265,39,53,274
2,"sex,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",163,86,40,0.002939,0.3301,1e-06,0.126,0.8748,269,30,49,283
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",167,92,34,0.0095,0.1324,0.01,0.182,0.8605,263,33,55,280
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",169,115,32,0.009334,0.2387,0.004221,0.0437,0.8494,257,34,61,279
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",147,89,38,0.009644,0.3848,0.004458,0.2761,0.8637,271,39,47,274
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",178,92,49,0.004741,0.1068,0.01,0.2182,0.859,269,40,49,273
2,"sex,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",184,104,36,0.001259,0.2148,0.008308,0.0725,0.8621,268,37,50,276
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",190,94,56,0.002759,0.2145,0.000813,0.0464,0.8494,262,39,56,274
2,"age,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca",133,72,40,0.002744,0.0235,0.005377,0.1783,0.8479,258,36,60,277
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",173,106,42,0.006485,0.1265,0.008726,0.0925,0.859,266,37,52,276
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",183,127,58,0.001064,0.1868,0.001961,0.3,0.8621,263,32,55,281
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",144,87,57,0.001086,0.0201,0.004002,0.1456,0.8558,258,31,60,282
2,"cp,trestbps,chol,restecg,oldpeak,slope,ca",165,82,36,0.003245,0.3482,0.005372,0.1756,0.859,261,32,57,281
2,"sex,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",163,86,40,0.002939,0.3301,1e-06,0.126,0.87,268,32,50,281
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",157,82,49,0.002329,0.3198,0.006321,0.0622,0.8542,261,35,57,278
2,"sex,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",173,108,43,0.000888,0.1281,1e-06,0.0961,0.8748,269,30,49,283
2,"age,cp,trestbps,chol,fbs,restecg,oldpeak,slope,ca",188,93,55,0.000117,0.2753,0.00678,0.0794,0.859,258,29,60,284
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",178,92,49,0.004741,0.1068,0.01,0.2899,0.8574,265,37,53,276
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",180,98,37,0.000796,0.2315,0.004043,0.2182,0.8716,267,30,51,283
2,"age,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca",133,72,40,0.002744,0.0235,0.005377,0.1783,0.8542,268,42,50,271
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",184,65,57,0.003302,0.1863,0.008927,0.0791,0.8558,264,37,54,276
2,"sex,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",163,86,40,0.002939,0.3301,1e-06,0.126,0.8716,264,27,54,286
2,"age,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca",133,72,40,0.002744,0.0235,0.005377,0.1783,0.8542,264,38,54,275
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",188,75,37,0.008223,0.0005,0.005944,0.2791,0.8447,267,47,51,266
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",188,75,37,0.008223,0.0005,0.005944,0.2791,0.8494,265,42,53,271
2,"sex,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",163,86,40,0.002939,0.3301,1e-06,0.126,0.8732,267,29,51,284
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",173,106,42,0.006485,0.1265,0.008726,0.0925,0.8558,266,39,52,274
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",153,66,45,0.005346,0.0196,0.006951,0.3,0.851,261,37,57,276
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",166,118,60,0.000864,0.0354,0.002435,0.136,0.8447,260,40,58,273
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",180,98,37,0.000796,0.2315,0.004043,0.2899,0.8637,265,33,53,280
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",168,91,39,0.000675,0.3067,0.000323,0.2099,0.8685,265,30,53,283
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",149,120,44,0.002695,0.0072,0.003731,0.096,0.8479,260,38,58,275
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",147,70,33,0.009136,0.3814,0.0019,0.0956,0.8447,256,36,62,277
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",165,82,56,0.009393,0.2415,0.009621,0.082,0.8605,271,41,47,272
2,"cp,trestbps,chol,restecg,oldpeak,slope,ca",154,108,36,0.0001,0.3482,0.005372,0.1756,0.8526,256,31,62,282
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",157,82,49,0.002329,0.3198,0.006321,0.0622,0.8637,262,30,56,283
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",167,92,34,0.0095,0.1324,0.01,0.182,0.8605,274,44,44,269
