Generation,Individual,n1,n2,n3,lr,dr,l2,alpha,Accuracy,TP,FP,FN,TN
3,"[200, 121, 32, 0.002148670946652552, 0.029701046565747125, 0.0025600977175432764, 0.15857301649711852]",200,121,32,0.002149,0.0297,0.00256,0.1586,0.6284,220,169,9,81
3,"[150, 135, 42, 0.0010160172171795624, 0.1287341833369425, 0.001830008647912201, 0.28272428650672077]",150,135,42,0.001016,0.1287,0.00183,0.2827,0.7724,194,74,35,176
3,"[166, 126, 87, 0.008840490542124584, 0.12028609260751529, 0.005006819176310594, 0.18693433073266202]",166,126,87,0.00884,0.1203,0.005007,0.1869,0.6889,205,125,24,125
3,"[173, 71, 46, 0.004414139818276098, 0.25205000315773524, 0.004193831103874407, 0.06081823448013028]",173,71,46,0.004414,0.2521,0.004194,0.0608,0.7307,202,102,27,148
3,"[181, 130, 61, 0.0012162664115982441, 0.06404840665828247, 0.0010235539074996483, 0.026289150937750284]",181,130,61,0.001216,0.064,0.001024,0.0263,0.6117,219,176,10,74
3,"[104, 110, 47, 0.0021291623022691745, 0.2355336711000567, 0.0038652613707627795, 0.27487266050362774]",104,110,47,0.002129,0.2355,0.003865,0.2749,0.7871,176,49,53,201
3,"[104, 110, 47, 0.0021291623022691745, 0.2355336711000567, 0.0038652613707627795, 0.27487266050362774]",104,110,47,0.002129,0.2355,0.003865,0.2749,0.762,185,70,44,180
3,"[107, 93, 42, 0.0010160172171795624, 0.1287341833369425, 0.002997574347436742, 0.15301347440248034]",107,93,42,0.001016,0.1287,0.002998,0.153,0.7996,171,38,58,212
3,"[150, 135, 47, 0.001019749811010774, 0.2929638141970955, 0.005006819176310594, 0.010294092227821202]",150,135,47,0.00102,0.293,0.005007,0.0103,0.7662,194,77,35,173
3,"[166, 105, 98, 0.005256228097555127, 0.2842986931313559, 0.001830008647912201, 0.28272428650672077]",166,105,98,0.005256,0.2843,0.00183,0.2827,0.7516,184,74,45,176
3,"[150, 135, 42, 0.0010160172171795624, 0.1287341833369425, 0.005006819176310594, 0.010294092227821202]",150,135,42,0.001016,0.1287,0.005007,0.0103,0.8121,186,47,43,203
3,"[166, 126, 87, 0.008840490542124584, 0.12028609260751529, 0.001830008647912201, 0.28272428650672077]",166,126,87,0.00884,0.1203,0.00183,0.2827,0.6931,205,123,24,127
3,"[107, 93, 47, 0.001019749811010774, 0.2929638141970955, 0.002997574347436742, 0.15301347440248034]",107,93,47,0.00102,0.293,0.002998,0.153,0.7975,171,39,58,211
3,"[185, 146, 38, 0.005277500014701656, 0.29345588910262926, 0.007625313169795858, 0.241200209787595]",185,146,38,0.005278,0.2935,0.007625,0.2412,0.785,168,42,61,208
3,"[154, 131, 98, 0.009668342371777418, 0.22733170120920695, 0.007748508663688895, 0.03837910394497565]",154,131,98,0.009668,0.2273,0.007749,0.0384,0.4864,229,246,0,4
3,"[150, 135, 42, 0.0010160172171795624, 0.1287341833369425, 0.005006819176310594, 0.18693433073266202]",150,135,42,0.001016,0.1287,0.005007,0.1869,0.7223,201,105,28,145
3,"[107, 93, 47, 0.001019749811010774, 0.2929638141970955, 0.002997574347436742, 0.15301347440248034]",107,93,47,0.00102,0.293,0.002998,0.153,0.7683,176,58,53,192
3,"[104, 110, 46, 0.004414139818276098, 0.25205000315773524, 0.0038652613707627795, 0.27487266050362774]",104,110,46,0.004414,0.2521,0.003865,0.2749,0.7265,205,107,24,143
3,"[173, 71, 47, 0.0021291623022691745, 0.2355336711000567, 0.0010235539074996483, 0.010294092227821202]",173,71,47,0.002129,0.2355,0.001024,0.0103,0.7704,182,63,47,187
3,"[173, 71, 46, 0.0012162664115982441, 0.06404840665828247, 0.004193831103874407, 0.06081823448013028]",173,71,46,0.001216,0.064,0.004194,0.0608,0.6409,217,160,12,90
3,"[181, 130, 61, 0.004414139818276098, 0.25205000315773524, 0.0010235539074996483, 0.010294092227821202]",181,130,61,0.004414,0.2521,0.001024,0.0103,0.7829,177,52,52,198
3,"[149, 104, 91, 0.006464643872646969, 0.16018784891861798, 0.005993151677778271, 0.18693433073266202]",149,104,91,0.006465,0.1602,0.005993,0.1869,0.6075,221,180,8,70
3,"[104, 110, 47, 0.0021291623022691745, 0.2355336711000567, 0.0038652613707627795, 0.27487266050362774]",104,110,47,0.002129,0.2355,0.003865,0.2749,0.7829,188,63,41,187
3,"[150, 135, 42, 0.0010160172171795624, 0.1287341833369425, 0.005006819176310594, 0.010294092227821202]",150,135,42,0.001016,0.1287,0.005007,0.0103,0.7516,205,95,24,155
3,"[150, 135, 42, 0.0001, 0.1680189034757198, 0.005006819176310594, 0.18693433073266202]",150,135,42,0.0001,0.168,0.005007,0.1869,0.7223,197,101,32,149
3,"[166, 125, 87, 0.01, 0.1673144705293259, 0.001830008647912201, 0.28272428650672077]",166,125,87,0.01,0.1673,0.00183,0.2827,0.7223,204,108,25,142
3,"[181, 71, 91, 0.0012162664115982441, 0.06404840665828247, 0.0001, 0.06081823448013028]",181,71,91,0.001216,0.064,0.0001,0.0608,0.7098,216,126,13,124
3,"[154, 131, 98, 0.009668342371777418, 0.22733170120920695, 0.0038652613707627795, 0.27487266050362774]",154,131,98,0.009668,0.2273,0.003865,0.2749,0.7599,156,42,73,208
3,"[104, 110, 47, 0.0021291623022691745, 0.2355336711000567, 0.007748508663688895, 0.03837910394497565]",104,110,47,0.002129,0.2355,0.007749,0.0384,0.7891,177,49,52,201
3,"[102, 136, 98, 0.005256228097555127, 0.25205000315773524, 0.0010235539074996483, 0.21000858388764562]",102,136,98,0.005256,0.2521,0.001024,0.21,0.785,183,57,46,193
3,"[166, 105, 87, 0.008840490542124584, 0.13762106577724686, 0.0001, 0.06081823448013028]",166,105,87,0.00884,0.1376,0.0001,0.0608,0.762,196,81,33,169
3,"[166, 105, 46, 0.004414139818276098, 0.2842986931313559, 0.008185286562294359, 0.28272428650672077]",166,105,46,0.004414,0.2843,0.008185,0.2827,0.6868,207,128,22,122
3,"[173, 71, 98, 0.005256228097555127, 0.2842986931313559, 0.001830008647912201, 0.010294092227821202]",173,71,98,0.005256,0.2843,0.00183,0.0103,0.7557,206,94,23,156
